;;;;;;;
116;1.01.02.2.01.0055;Pengadaan Alat Praktik dan Peraga Peserta Didik;1;1;2;9;T
117;1.01.02.2.01.01;Pembangunan Unit Sekolah Baru (USB);1;1;2;9;T
118;1.01.02.2.01.02;Penambahan Ruang Kelas Baru;1;1;2;9;T
119;1.01.02.2.01.03;Pembangunan Ruang Guru/Kepala Sekolah/TU;1;1;2;9;T
120;1.01.02.2.01.04;Pembangunan Ruang Unit Kesehatan Sekolah;1;1;2;9;T
121;1.01.02.2.01.05;Pembangunan Perpustakaan Sekolah;1;1;2;9;T
122;1.01.02.2.01.06;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;1;1;2;9;T
123;1.01.02.2.01.08;Rehabilitasi Sedang/Berat Ruang Kelas;1;1;2;9;T
124;1.01.02.2.01.09;Rehabilitasi Sedang/Berat Ruang Guru/Kepala Sekolah/TU;1;1;2;9;T
125;1.01.02.2.01.11;Rehabilitasi Sedang/Berat Perpustakaan Sekolah;1;1;2;9;T
126;1.01.02.2.01.12;Rehabilitasi Sedang/Berat Sarana, Prasarana dan Utilitas Sekolah;1;1;2;9;T
127;1.01.02.2.01.13;Rehabilitasi Sedang/Berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah;1;1;2;9;T
128;1.01.02.2.01.14;Pengadaan Mebel Sekolah;1;1;2;9;T
129;1.01.02.2.01.16;Pengadaan Perlengkapan Sekolah;1;1;2;9;T
130;1.01.02.2.01.17;Pengadaan Perlengkapan Siswa;1;1;2;9;T
131;1.01.02.2.01.18;Pemeliharaan Rutin Bangunan Gedung dan Ruangan;1;1;2;9;T
132;1.01.02.2.01.21;Penyediaan Biaya Personil Peserta Didik Sekolah Dasar;1;1;2;9;T
133;1.01.02.2.01.22;Pengadaan Alat Praktik dan Peraga Siswa;1;1;2;9;T
134;1.01.02.2.01.23;Penyelengaraan Proses Belajar dan Ujian bagi Peserta Didik;1;1;2;9;T
135;1.01.02.2.01.24;Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Dasar;1;1;2;9;T
136;1.01.02.2.01.25;Pembinaan Minat, Bakat dan Kreativitas Siswa;1;1;2;9;T
137;1.01.02.2.01.27;Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Sekolah Dasar;1;1;2;9;T
138;1.01.02.2.01.28;Pembinaan Kelembagaan dan Manajemen Sekolah;1;1;2;9;T
139;1.01.02.2.01.29;Pengelolaan Dana BOS Sekolah Dasar;1;1;2;9;T
140;1.01.02.2.01.30;Peningkatan Kapasitas Pengelolaan Dana BOS Sekolah Dasar;1;1;2;9;T
141;1.01.02.2.01.31;Pembangunan Laboratorium Sekolah Dasar;1;1;2;9;T
142;1.01.02.2.01.35;Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan;1;1;2;9;T
143;1.01.02.2.01.37;Pelatihan Penggunaan Aplikasi Bidang Pendidikan;1;1;2;9;T
144;1.01.02.2.01.38;Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan;1;1;2;9;T
145;1.01.02.2.01.40;Bimbingan Teknis Peningkatan Kapasitas Bidang Pendidikan;1;1;2;9;T
146;1.01.02.2.02.0001;Pembangunan Unit Sekolah Baru (USB);1;1;2;10;T
147;1.01.02.2.02.0003;Pembangunan Ruang Guru/Kepala Sekolah/TU;1;1;2;10;T
148;1.01.02.2.02.0004;Pembangunan Ruang Unit Kesehatan Sekolah;1;1;2;10;T
149;1.01.02.2.02.0005;Pembangunan Perpustakaan Sekolah;1;1;2;10;T
150;1.01.02.2.02.0006;Pembangunan Laboratorium;1;1;2;10;T
151;1.01.02.2.02.0007;Pembangunan Ruang Serba Guna/Aula;1;1;2;10;T
152;1.01.02.2.02.0008;Pembangunan Asrama Sekolah;1;1;2;10;T
153;1.01.02.2.02.0009;Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah;1;1;2;10;T
154;1.01.02.2.02.0010;Pembangunan Fasilitas Parkir;1;1;2;10;T
155;1.01.02.2.02.0012;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;1;1;2;10;T
156;1.01.02.2.02.0014;Rehabilitasi Sedang/Berat Ruang Kelas Sekolah;1;1;2;10;T
157;1.01.02.2.02.0016;Rehabilitasi Sedang/Berat Ruang Unit Kesehatan Sekolah;1;1;2;10;T
158;1.01.02.2.02.0017;Rehabilitasi Sedang/Berat Perpustakaan Sekolah;1;1;2;10;T
159;1.01.02.2.02.0018;Rehabilitasi Sedang/Berat Laboratorium;1;1;2;10;T
160;1.01.02.2.02.0019;Rehabilitasi Sedang/Berat Ruang Serba Guna/Aula;1;1;2;10;T
161;1.01.02.2.02.0021;Rehabilitasi Sedang/Berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah;1;1;2;10;T
162;1.01.02.2.02.0022;Rehabilitasi Sedang/Berat Fasilitas Parkir;1;1;2;10;T
163;1.01.02.2.02.0023;Rehabilitasi Sedang/Berat Kantin Sekolah;1;1;2;10;T
164;1.01.02.2.02.0024;Rehabilitasi Sedang/Berat Sarana, Prasarana dan Utilitas Sekolah;1;1;2;10;T
165;1.01.02.2.02.0025;Pengadaan Mebel Sekolah;1;1;2;10;T
166;1.01.02.2.02.0026;Pengadaan Alat Rumah Tangga Sekolah;1;1;2;10;T
167;1.01.02.2.02.0027;Pengadaan Perlengkapan Sekolah;1;1;2;10;T
168;1.01.02.2.02.0030;Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah;1;1;2;10;T
