;;;;;;
152;2.09.00.03.2.005514;Pelaksanaan Pencapaian Target Konsumsi Pangan Perkapita/Tahun sesuai dengan Angka Kecukupan Gizi;2;9;50;T
153;2.09.00.04.2.006612;Penanganan Kerawanan Pangan Kewenangan Kabupaten/Kota;2;9;51;T
154;2.09.00.04.2.006613;Penyusunan Peta Kerentanan dan Ketahanan Pangan Kecamatan;2;9;51;T
155;2.09.00.05.2.007711;Pelaksanaan Pengawasan Keamanan Pangan Segar Daerah Kabupaten/Kota;2;9;52;T
156;2.10.08.2.02;Inventarisasi dan Pemanfaatan Tanah Kosong;2;10;53;T
157;2.10.09.2.01;Penerbitan Izin Membuka Tanah;2;10;54;T
158;2.11.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;11;55;T
159;2.11.01.2.02;Administrasi Keuangan Perangkat Daerah;2;11;55;T
160;2.11.01.2.05;Administrasi Kepegawaian Perangkat Daerah;2;11;55;T
161;2.11.01.2.06;Administrasi Umum Perangkat Daerah;2;11;55;T
162;2.11.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;11;55;T
163;2.11.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;11;55;T
164;2.11.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;11;55;T
165;2.11.02.2.01;Rencana Perlindungan dan Pengelolaan Lingkungan Hidup (RPPLH) Kabupaten/Kota;2;11;56;T
166;2.11.02.2.02;Penyelenggaraan Kajian Lingkungan Hidup Strategis (KLHS) Kabupaten/Kota;2;11;56;T
167;2.11.03.2.01;Pencegahan Pencemaran dan/atau Kerusakan Lingkungan Hidup Kabupaten/Kota;2;11;57;T
168;2.11.04.2.01;Pengelolaan Keanekaragaman Hayati Kabupaten/Kota;2;11;58;T
169;2.11.06.2.01;Pembinaan dan Pengawasan Terhadap Usaha dan/atau Kegiatan yang Izin Lingkungan dan Izin PPLH diterbitkan oleh Pemerintah Daerah Kabupaten/Kota;2;11;59;T
170;2.11.08.2.01;Penyelenggaraan Pendidikan, Pelatihan, dan Penyuluhan Lingkungan Hidup untuk Lembaga Kemasyarakatan Tingkat Daerah Kabupaten/Kota;2;11;60;T
171;2.11.11.2.01;Pengelolaan Sampah;2;11;61;T
172;2.12.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;12;62;T
173;2.12.01.2.02;Administrasi Keuangan Perangkat Daerah;2;12;62;T
174;2.12.01.2.05;Administrasi Kepegawaian Perangkat Daerah;2;12;62;T
